NDB_NO,Description,Protein(g)Per 100 g,Total lipid (fat)(g)Per 100 g,"Carbohydrate, by difference(g)Per 100 g",Weight(g),Measure,Protein per measure,Fat per measure,Carbohydrate per measure
14058,"Beverages, Whey protein powder isolate",58.14,1.16,29.07,86,3.0 scoop,50,1,25
19408,"Snacks, pork skins, barbecue-flavor",57.9,31.8,1.6,28.35,1.0 oz,16.41,9.02,0.45
14067,"Beverages, Protein powder soy based",55.56,5.56,28.89,45,1.0 scoop,25,2.5,13
1144,"Egg substitute, powder",55.5,13,21.8,9.9,0.35 oz,5.49,1.29,2.16
12033,"Seeds, sesame flour, low-fat",50.14,1.75,35.51,28.35,1.0 oz,14.21,0.5,10.07
1185,"Parmesan cheese topping, fat free",40,5,--,5,1.0 tablespoon,2,0.25,--
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",36.16,0.77,51.98,30,0.25 cup,10.85,0.23,15.59
12022,"Seeds, safflower seed meal, partially defatted",35.62,2.39,48.73,28.35,1.0 oz,10.1,0.68,13.81
1093,"Milk, dry, nonfat, calcium reduced",35.5,0.2,51.8,28.35,1.0 oz,10.06,0.06,14.69
13899,"Beef, round, top round, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",34.6,8.54,0,85,3.0 oz,29.41,7.26,0
1094,"Milk, buttermilk, dried",34.3,5.78,49,30,0.25 cup,10.29,1.73,14.7
17333,"Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised",33.78,5.43,0,85,1.0 serving ( 3 oz ),28.71,4.62,0
13228,"Beef, shank crosscuts, separable lean only, trimmed to 1/4"" fat, choice, cooked, simmered",33.68,6.36,0,85,3.0 oz,28.63,5.41,0
13950,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",33.59,6.77,0,85,3.0 oz,28.55,5.75,0
17277,"Veal, shank (fore and hind), separable lean and fat, cooked, braised",31.54,6.2,0,85,3.0 oz,26.81,5.27,0
17348,"Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled",31.47,1.92,0,102,1.0 steak ( yield from 134.9 g raw meat ),32.1,1.96,0
13902,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",31.27,10.1,0,85,3.0 oz,26.58,8.59,0
7278,Hormel Pillow Pak Sliced Turkey Pepperoni,30.99,11.52,3.78,30,1.0 serving,9.3,3.46,1.13
17341,"Game meat, elk, round, separable lean only, cooked, broiled",30.94,2.64,0,85,1.0 serving ( 3 oz ),26.3,2.24,0
13896,"Beef, round, top round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",30.7,10.27,0,85,3.0 oz,26.09,8.73,0
10976,"Pork, ground, 96% lean / 4% fat, cooked, crumbles",30.55,7.15,0,85,3.0 oz grilled patties,25.97,6.08,0
5024,"Chicken, gizzard, all classes, cooked, simmered",30.39,2.68,0,145,1.0 cup chopped or dice,44.07,3.89,0
17275,"Veal, breast, whole, boneless, separable lean only, cooked, braised",30.32,9.8,0,85,3.0 oz,25.77,8.33,0
13455,"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",30.29,6.55,0,85,3.0 oz,25.75,5.57,0
17345,"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",30.2,2.38,0,54,1.0 steak,16.31,1.29,0
17336,"Game meat, bison, top round, separable lean only, 1"" steak, cooked, broiled",30.18,4.96,0,85,1.0 serving ( 3 oz ),25.65,4.22,0
5220,"Turkey, whole, breast, meat only, cooked, roasted",30.13,2.08,0,85,3.0 oz,25.61,1.77,0
13968,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",30.12,4.62,0,85,3.0 oz,25.6,3.93,0
13959,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",29.96,4.28,0,85,3.0 oz,25.47,3.64,0
12516,"Seeds, pumpkin and squash seed kernels, roasted, with salt added",29.84,49.05,14.71,118,1.0 cup,35.21,57.88,17.36
17323,"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",29.7,20.38,0,85,3.0 oz,25.25,17.32,0
15225,"Fish, yellowtail, mixed species, cooked, dry heat",29.67,6.72,0,146,0.5 fillet,43.32,9.81,0
17335,"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",29.45,5.67,0,85,1.0 serving ( 3 oz ),25.03,4.82,0
17265,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/8"" fat, cooked, braised",29.43,24.03,0,85,3.0 oz,25.02,20.43,0
10011,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",29.41,9.44,0,135,"1.0 cup, diced",39.7,12.74,0
23260,"Beef, loin, top sirloin petite roast, boneless, separable lean only, trimmed to 0"" fat, select, cooked, roasted",29.35,5.25,0,85,3.0 oz,24.95,4.46,0
7921,Bacon and beef sticks,29.1,44.2,0.8,28,1.0 oz,8.15,12.38,0.22
5044,"Chicken, broilers or fryers, dark meat, meat only, cooked, fried",28.99,11.62,2.59,140,1.0 cup,40.59,16.27,3.63
5664,"Turkey, ground, fat free, patties, broiled",28.99,2.48,0,85,3.0 oz,24.64,2.11,0
17251,"Lamb, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",28.92,23.88,0,85,3.0 oz,24.58,20.3,0
13980,"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"" fat, choice, cooked, braised",28.84,14.95,0,85,3.0 oz,24.51,12.71,0
10051,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",28.82,9.21,0,85,3.0 oz,24.5,7.83,0
15207,"Fish, roe, mixed species, cooked, dry heat",28.62,8.23,1.92,28.35,1.0 oz,8.11,2.33,0.54
5072,"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",28.62,8.08,0,25,1.0 unit (yield from 1 lb ready-to-cook chicken),7.16,2.02,0
5008,"Chicken, broilers or fryers, meat and skin, cooked, fried, flour",28.56,14.92,3.15,85,3.0 oz,24.28,12.68,2.68
17315,"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled",28.48,21.2,0,85,3.0 oz,24.21,18.02,0
1032,"Cheese, parmesan, grated",28.42,27.84,13.91,100,1.0 cup,28.42,27.84,13.91
5081,"Chicken, broilers or fryers, leg, meat only, cooked, fried",28.38,9.32,0.65,56,1.0 unit (yield from 1 lb ready-to-cook chicken),15.89,5.22,0.36
15220,"Fish, tuna, skipjack, fresh, cooked, dry heat",28.21,1.29,0,85,3.0 oz,23.98,1.1,0
17332,"Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled",28.05,5.65,0,85,1.0 serving ( 3 oz ),23.84,4.8,0
5194,"Turkey, all classes, leg, meat and skin, cooked, roasted",27.87,9.82,0,85,3.0 oz,23.69,8.35,0
10986,"Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, broiled",27.83,11.65,0,85,3.0 oz,23.66,9.9,0
17289,"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised",27.5,5.22,0,85,3.0 oz,23.38,4.44,0
15082,"Fish, salmon, coho, wild, cooked, moist heat",27.36,7.5,0,85,3.0 oz,23.26,6.38,0
10022,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",27.32,13.92,0,85,3.0 oz,23.22,11.83,0
17293,"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, cooked, roasted",27.31,8.1,0,85,3.0 oz,23.21,6.88,0
5184,"Turkey, whole, dark meat, meat and skin, cooked, roasted",27.27,9.95,0.07,85,3.0 oz,23.18,8.46,0.06
10069,"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",27.23,6.28,0,85,3.0 oz,23.15,5.34,0
17297,"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, cooked, roasted",27.18,7.27,0,85,3.0 oz,23.1,6.18,0
5666,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",27.1,11.6,0,85,3.0 oz,23.04,9.86,0
16394,"Peanuts, valencia, oil-roasted, without salt",27.04,51.24,16.3,144,1.0 cup,38.94,73.79,23.47
17257,"Lamb, New Zealand, imported, frozen, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised",26.97,15.83,0,85,3.0 oz,22.92,13.46,0
17272,"Veal, breast, whole, boneless, separable lean and fat, cooked, braised",26.97,16.77,0,85,3.0 oz,22.92,14.25,0
5697,"Turkey from whole, light meat, meat only, with added solution, cooked, roasted",26.97,2.08,0,85,3.0 oz,22.92,1.77,0
1040,"Cheese, swiss",26.96,30.99,1.44,132,"1.0 cup, diced",35.59,40.91,1.9
13932,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",26.8,15.75,0,85,3.0 oz,22.78,13.39,0
17309,"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, broiled",26.75,7.68,0,85,3.0 oz,22.74,6.53,0
13985,"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",26.75,8.34,0,85,3.0 oz,22.74,7.09,0
10086,"Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled",26.74,12.54,0,85,3.0 oz,22.73,10.66,0
17283,"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, cooked",26.71,9.63,0,85,3.0 oz,22.7,8.19,0
10055,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",26.64,12.87,0,85,3.0 oz,22.64,10.94,0
17339,"Game meat, elk, ground, cooked, pan-broiled",26.64,8.74,0,95,1.0 patty ( yield from 104.1 g raw meat ),25.31,8.3,0
15219,"Fish, trout, mixed species, cooked, dry heat",26.63,8.47,0,62,1.0 fillet,16.51,5.25,0
5190,"Turkey, all classes, back, meat and skin, cooked, roasted",26.59,14.38,0.16,140,"1.0 cup, chopped or diced",37.23,20.13,0.22
15124,"Fish, tuna, white, canned in oil, drained solids",26.53,8.08,0,85,3.0 oz,22.55,6.87,0
10990,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",26.48,10.32,0,85,3.0 oz,22.51,8.77,0
